representation,feature_dimension,encoder_branches,feature_extraction_latency_mean_sec,feature_extraction_latency_std_sec,downstream_classifier_latency_mean_sec,total_deployable_latency_sec,clips_per_second,real_time_factor,peak_gpu_memory_bytes,peak_cpu_rss_bytes,cached_feature_size_bytes,cross_device_f1,cross_device_balanced_accuracy,classifier,timed_clips,warmup_clips,batch_size
classical,52,1,0.07226142189465463,0.00045607466510823715,0.0006797708895892316,0.07294119278424387,13.83864271945599,0.0036130710947327315,0,937705472,8236096,0.0369240261968027,0.4955723643305396,svm_rbf,20,3,1
hubert,768,1,0.02593398317694664,0.00028049106888839803,0.010975009745538057,0.036908992922484694,38.559445079339945,0.001296699158847332,722866176,1842753536,121639040,0.3882369215404736,0.5506133565078121,svm_rbf,20,3,1
wavlm,768,1,0.048976064869202675,0.00031649760225521505,0.011965965311959087,0.06094203018116176,20.418136954666277,0.002448803243460134,787701248,1916805120,121639040,0.4275250184341425,0.5369958235048107,svm_rbf,20,3,1
wav2vec2,768,1,0.025793323828838765,0.00017032426302285267,0.012288484250999664,0.03808180807983843,38.7697222209853,0.0012896661914419383,722866176,1805684736,121639040,0.3284080456643248,0.519569308014368,svm_rbf,20,3,1
data2vec_audio,768,1,0.032316611334681514,0.0002709808495095111,0.0121624137949288,0.044479025129610314,30.943838437875474,0.0016158305667340756,846604288,1737310208,121639040,0.3493250642630037,0.5265182411695168,svm_rbf,20,3,1
data2vec_spectrogram,768,1,0.03830168645363301,0.0005518038127854801,0.01152210916493284,0.04982379561856585,26.10851094534892,0.0019150843226816506,554060800,1615458304,121639040,0.266353724763282,0.5197443938193842,svm_rbf,20,3,1
data2vec_fusion,1536,2,0.07218574117869139,0.001445194853456972,0.0009591362365607986,0.07314487741525219,13.853151379641044,0.0036092870589345695,1188610560,1966796800,243278080,0.3619482576860678,0.5374600588194802,svm_rbf,20,2,1
full_fusion,3840,5,0.19205901860259472,0.018460134765724775,0.000989576685143556,0.19304859528773827,5.206732843247434,0.009602950930129736,2322057216,2154414080,608195200,0.317696357785965,0.5357919629334991,svm_rbf,20,2,1
