representation,classifier,feature_dimension,folds_per_protocol,balanced_accuracy_R_S,balanced_accuracy_S_R,balanced_accuracy_mean_cross_device,f1_R_S,f1_S_R,f1_mean_cross_device,balanced_accuracy_subject_mean,f1_subject_mean,balanced_accuracy_ci95_low,f1_ci95_low,balanced_accuracy_ci95_high,f1_ci95_high
classical,svm_rbf,52,5,0.5010601527694499,0.4900845758916293,0.4955723643305396,0.0075125295461901,0.0663355228474153,0.0369240261968027,0.4962738498548605,0.0253300595210423,0.4924333365316585,0.0078939720142465,0.5001143631780626,0.0427661470278381
data2vec_audio,svm_rbf,768,5,0.5285979261366857,0.5244385562023479,0.5265182411695168,0.3805002184844924,0.318149910041515,0.3493250642630037,0.5179740174544609,0.2921967067146802,0.5040418997308362,0.2459200504366713,0.5319061351780856,0.338473362992689
data2vec_fusion,svm_rbf,1536,5,0.5437035116180879,0.5312166060208726,0.5374600588194802,0.3553205853938586,0.3685759299782772,0.3619482576860678,0.5286948243726809,0.3092182514104317,0.5154340357038181,0.2613894571627068,0.5419556130415437,0.3570470456581566
data2vec_spectrogram,svm_rbf,768,5,0.5084766026647628,0.5310121849740058,0.5197443938193843,0.1018175353624562,0.4308899141641077,0.266353724763282,0.5164057802048623,0.2351076714312052,0.5045884494004479,0.2013270974029955,0.5282231110092767,0.268888245459415
full_fusion,svm_rbf,3840,5,0.5256142142711363,0.5459697115958617,0.5357919629334991,0.2642364602827173,0.3711562552892126,0.3176963577859649,0.5275648218105009,0.256029305958105,0.5126150105398557,0.2002264639182182,0.5425146330811461,0.3118321479979917
full_fusion_v2,svm_rbf,3072,5,0.5254436763265622,0.5502355474404574,0.5378396118835098,0.2408204807479609,0.3985325360422566,0.3196765083951087,0.524608683902541,0.2499053886703443,0.509082399232311,0.2008198707862542,0.540134968572771,0.2989909065544343
full_minus_data2vec,svm_rbf,2304,5,0.5281339012706663,0.5552760487208476,0.541704974995757,0.2576298527691144,0.4514692876010713,0.3545495701850928,0.5320855169372387,0.2945911388413417,0.5163610788283828,0.2439718691509309,0.5478099550460946,0.3452104085317526
full_minus_data2vec_audio,mlp,3072,5,0.5340802640576809,0.5518531825657159,0.5429667233116984,0.3880374712642873,0.5021835322460586,0.4451105017551729,0.5316959668490919,0.277447156686943,0.5173522962552388,0.2225984532606688,0.546039637442945,0.3322958601132171
full_minus_data2vec_audio,random_forest,3072,5,0.5236272326659904,0.5369487117090734,0.530287972187532,0.1920585963421281,0.3574083640696626,0.2747334802058954,0.5316959668490919,0.277447156686943,0.5173522962552388,0.2225984532606688,0.546039637442945,0.3322958601132171
full_minus_data2vec_audio,svm_rbf,3072,5,0.5153195271649544,0.5559878331985582,0.5356536801817563,0.2497575071580674,0.4131451340768069,0.3314513206174371,0.5316959668490919,0.277447156686943,0.5173522962552388,0.2225984532606688,0.546039637442945,0.3322958601132171
full_minus_data2vec_audio,xgboost,3072,5,0.5206688771248682,0.5415051660307836,0.5310870215778258,0.2091123575005882,0.3842948729967652,0.2967036152486767,0.5316959668490919,0.277447156686943,0.5173522962552388,0.2225984532606688,0.546039637442945,0.3322958601132171
full_minus_data2vec_spectrogram,svm_rbf,3072,5,0.5254436763265622,0.5502355474404574,0.5378396118835098,0.2408204807479609,0.3985325360422566,0.3196765083951087,0.524608683902541,0.2499053886703443,0.509082399232311,0.2008198707862542,0.540134968572771,0.2989909065544343
full_minus_hubert,svm_rbf,3072,5,0.5305549574782343,0.5444917552130957,0.537523356345665,0.3047287099832306,0.4359895275297961,0.3703591187565134,0.5288637751174982,0.3209707034545928,0.5124670318351741,0.2688024307987569,0.5452605183998223,0.3731389761104288
full_minus_wav2vec2,mlp,3072,5,0.5393582577578424,0.5380116539037065,0.5386849558307745,0.4546068835752052,0.4496899635578952,0.4521484235665502,0.5225002436312037,0.2512033437407297,0.5094356495596487,0.1982665628903961,0.5355648377027588,0.3041401245910633
full_minus_wav2vec2,random_forest,3072,5,0.5221245542763253,0.5278574928456455,0.5249910235609854,0.2666395977728601,0.3147582440182629,0.2906989208955616,0.5225002436312037,0.2512033437407297,0.5094356495596487,0.1982665628903961,0.5355648377027588,0.3041401245910633
full_minus_wav2vec2,svm_rbf,3072,5,0.5216049776872115,0.5356275294170663,0.5286162535521388,0.2890178567294564,0.3459922378219362,0.3175050472756963,0.5225002436312037,0.2512033437407297,0.5094356495596487,0.1982665628903961,0.5355648377027588,0.3041401245910633
full_minus_wav2vec2,xgboost,3072,5,0.5244827590868288,0.5341182251232852,0.529300492105057,0.2583127547874339,0.3275261144605826,0.2929194346240082,0.5225002436312037,0.2512033437407297,0.5094356495596487,0.1982665628903961,0.5355648377027588,0.3041401245910633
full_minus_wavlm,svm_rbf,3072,5,0.5235035640789583,0.5417296528768644,0.5326166084779114,0.2421758184454255,0.3445730297460038,0.2933744240957147,0.5229907510394303,0.2318376146354763,0.5092561363585658,0.1813166163305067,0.5367253657202947,0.2823586129404458
hubert,mlp,768,5,0.5436246129051672,0.53437280940727,0.5389987111562187,0.4182861415864794,0.3945991786714003,0.4064426601289398,0.5400394003652971,0.3202648655439394,0.5237654485275551,0.2658633344121588,0.556313352203039,0.37466639667572
hubert,random_forest,768,5,0.5473264983925501,0.5344801134659629,0.5409033059292565,0.4145569781028226,0.3667355808573901,0.3906462794801063,0.5400394003652971,0.3202648655439394,0.5237654485275551,0.2658633344121588,0.556313352203039,0.37466639667572
hubert,svm_rbf,768,5,0.535929046297993,0.5652976667176312,0.5506133565078121,0.3226177811827674,0.4538560618981798,0.3882369215404736,0.5400394003652971,0.3202648655439394,0.5237654485275551,0.2658633344121588,0.556313352203039,0.37466639667572
hubert,xgboost,768,5,0.5604273339194892,0.5510628376416277,0.5557450857805584,0.4377388688204565,0.4189304465554498,0.4283346576879532,0.5400394003652971,0.3202648655439394,0.5237654485275551,0.2658633344121588,0.556313352203039,0.37466639667572
