preprocessing,f1_mean_matched,f1_mean_cross_device,f1_mean_device_gap,balanced_accuracy_mean_matched,balanced_accuracy_mean_cross_device,balanced_accuracy_mean_device_gap,roc_auc_mean_matched,roc_auc_mean_cross_device,roc_auc_mean_device_gap,mcc_mean_matched,mcc_mean_cross_device,mcc_mean_device_gap,sensitivity_mean_matched,sensitivity_mean_cross_device,sensitivity_mean_device_gap,specificity_mean_matched,specificity_mean_cross_device,specificity_mean_device_gap
filter,0.47143673692385324,0.02634007203819214,0.4450966648856611,0.546587077821195,0.5000794265935669,0.04650765122762812,0.5748519587043475,0.5106184443596473,0.06423351434470015,0.09809098384851825,-0.011460487545824656,0.1095514713943429,0.4078760295154106,0.014081379612910477,0.3937946499025001,0.6852981261269795,0.9860774735742233,-0.3007793474472438
peak,0.4842647910404366,0.019031855487095857,0.4652329355533408,0.5492642306783176,0.49453606181120024,0.0547281688671174,0.5756127116598657,0.49433029262150974,0.08128241903835598,0.10252981146944154,-0.02422869637078211,0.12675850784022366,0.4257243826880507,0.01055903963920747,0.4151653430488432,0.6728040786685846,0.978513083983193,-0.30570900531460843
peak_filter,0.4919402038428803,0.036924026196802726,0.45501617764607755,0.5527379835746578,0.49557236433053964,0.057165619244118115,0.5800320677947045,0.48799260948224604,0.09203945831245847,0.10943026456127986,-0.020375409610708703,0.12980567417198857,0.4352801268614386,0.023013460029075703,0.41226666683236285,0.6701958402878772,0.9681312686320036,-0.29793542834412645
raw,0.4734511953013565,0.012425511630541362,0.46102568367081515,0.5477628426962486,0.4977147016856466,0.050048141010602065,0.5745291755467119,0.5069178958010818,0.06761127974563008,0.10044231833116885,-0.02751004757332709,0.12795236590449593,0.4106736979745309,0.006421234641705608,0.4042524633328253,0.6848519874179666,0.9890081687295875,-0.3041561813116209
