subject_id,recorder_time_mapping,intercept_sec,slope_sec_per_sec,clock_drift_seconds_per_hour,anchors,reliable_anchors,median_anchor_correlation,max_absolute_fit_residual_sec,low_confidence,phone_duration_sec,recorder_duration_sec
01,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,-2.3288163812652085,5.650270836315422e-05,0.2034097501073552,5,3,0.6442181091023481,4.440892098500626e-16,False,22257.92,27625.728
02,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,3.291644772268674,-0.00013067602405622325,-0.4704336866024037,5,5,0.9679655394393265,1.7375000000000003,False,21299.16,38220.736000000004
03,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,7.297725577646022,-0.00112299132871769,-4.042768783383684,5,5,0.888298428097038,10.2375,True,22257.92,33552.96
04,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,2.7522009294270577,-0.0003147730642360598,-1.1331830312498152,5,5,0.6376415207259598,4.104166666666668,True,21299.16,38469.44
05,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,2.427501249337663,-0.00011928349543332555,-0.429420583559972,5,5,0.8193226012376579,1.6666666666666672,False,22257.92,41409.6
06,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,3.1275012493376626,-0.00011928349543332555,-0.429420583559972,5,5,0.9118869292611944,1.6666666666666667,False,22257.92,37854.336
07,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,4.7055762567823765,-0.00020701226820073654,-0.7452441655226515,5,5,0.7009989372450406,7.0,True,37749.44,37732.8
08,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,4.531376308511996,-0.0002576006049254821,-0.9273621777317355,5,5,0.8117358898764011,6.700000000000001,True,41410.88,41392.576
09,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,3.8018861449142727,-0.00019977675473386794,-0.7191963170419245,5,5,0.7541205767521149,8.700000000000001,True,39078.72,39062.464
10,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,1.6977900316561518,-0.0004368431993257861,-1.57263551757283,5,5,0.8908406592120893,10.425,True,40780.8,40736.768
13,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,3.8615902280528687,-0.00021880436873111635,-0.7876957274320189,5,5,0.8901220841927114,8.15,True,37143.384,37125.312
14,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,3.3471355747500535,-0.00019046191127461377,-0.6856628805886096,5,5,0.8510697967593616,8.65,True,40429.28,40397.952000000005
15,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,6.5226513667993835,-0.00043657130744977323,-1.5716567068191836,5,5,0.8334517218300921,13.899999999999999,True,40905.6,40876.032
16,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,8.004261566245908,-0.0007926697377370734,-2.8536110558534644,5,5,0.8051380500501627,42.1,True,37925.472,37857.536
18,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,-7.556232007110921,-0.0009681725350766228,-3.485421126275842,5,5,0.6201998248537237,11.450000000000001,True,62744.16,42025.088
19,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,7.750232653908681,-0.00019653461550721656,-0.7075246158259796,5,5,0.6948469909100621,8.65,True,38182.72,38163.584
20,recorder_sec = phone_sec + intercept_sec + slope_sec_per_sec * phone_sec,5.6613189088636044,-0.000218272370320793,-0.7857805331548549,5,5,0.9070818649264321,7.75,True,37229.496,37213.312
