subject_id,anchor_phone_sec,recorder_time_minus_phone_time_sec,envelope_correlation,peak_at_search_boundary,reliable
01,450.0,-2.3000000000000003,0.7963750421841597,False,True
01,1050.0,-2.3000000000000003,0.8352669857059651,False,True
01,1650.0,-2.2,0.8217084748051913,False,True
01,2250.0,-2.2,0.8320463184847837,False,True
01,2850.0,-2.2,0.7473137015527898,False,True
01,3450.0,-2.1,0.7559457900331696,False,True
01,4050.0,-2.1,0.6809205602174264,False,True
01,4650.0,-2.0,0.7418102123517505,False,True
01,5250.0,-2.0,0.7803587966010331,False,True
01,5850.0,-2.0,0.6950035474251269,False,True
01,6450.0,-2.0,0.6934267603555085,False,True
01,7050.0,-1.9000000000000001,0.7821426021360407,False,True
01,7650.0,-1.9000000000000001,0.7362567193929607,False,True
01,8250.0,-1.8,0.6203821842132676,False,True
01,8850.0,-1.8,0.7073605712737856,False,True
01,9450.0,-1.8,0.8902274482458742,False,True
01,10050.0,-1.7000000000000002,0.7871917651252469,False,True
01,10650.0,-1.7000000000000002,0.6966987735051952,False,True
01,11250.0,-1.7000000000000002,0.644806100712933,False,True
01,11850.0,-1.6,0.15325697645820177,False,False
01,12450.0,119.0,0.045808923168473716,False,False
01,13050.0,-30.6,0.12900460322726715,False,False
01,13650.0,-251.0,0.11644098443672944,False,False
01,14250.0,-47.800000000000004,0.045337470012239645,False,False
01,14850.0,286.2,0.052038410714312595,False,False
01,15450.0,143.70000000000002,0.051857059440451284,False,False
01,16050.0,163.4,0.072599839872654,False,False
01,16650.0,163.4,0.07416820298516572,False,False
01,17250.0,-247.60000000000002,0.03829796007457478,False,False
01,17850.0,197.70000000000002,0.22451842822665224,False,False
01,18450.0,-256.40000000000003,0.1016465176257306,False,False
01,19050.0,-196.0,0.03028624570511622,False,False
01,19650.0,-54.5,0.06928463265316263,False,False
01,20250.0,113.2,0.08744051421616598,False,False
01,20850.0,-47.5,0.08427089593572568,False,False
01,21450.0,41.5,0.09101103087579684,False,False
01,21808.0,41.400000000000006,0.12299601213191813,False,False
02,450.0,1.9000000000000001,0.7537117989253256,False,True
02,1050.0,1.9000000000000001,0.8557056051568448,False,True
02,1650.0,2.0,0.9108431491451963,False,True
02,2250.0,2.0,0.9405050536970913,False,True
02,2850.0,2.0,0.9238746199504775,False,True
02,3450.0,2.1,0.9404859431543278,False,True
02,4050.0,2.1,0.9545000285662065,False,True
02,4650.0,2.1,0.9325598479815148,False,True
02,5250.0,2.2,0.962928052654673,False,True
02,5850.0,2.2,0.9661209910714208,False,True
02,6450.0,2.3000000000000003,0.9409192621729187,False,True
02,7050.0,2.3000000000000003,0.9647096721318946,False,True
02,7650.0,2.3000000000000003,0.9468374153598397,False,True
02,8250.0,2.4000000000000004,0.9554596926497402,False,True
02,8850.0,2.4000000000000004,0.9693929581408144,False,True
02,9450.0,2.4000000000000004,0.9578695100087965,False,True
02,10050.0,2.5,0.9551532504227349,False,True
02,10650.0,2.5,0.9741168188936619,False,True
02,11250.0,2.5,0.9691814975273845,False,True
02,11850.0,2.6,0.9654212136892725,False,True
02,12450.0,2.6,0.9784893709718981,False,True
02,13050.0,2.6,0.9678346682638712,False,True
02,13650.0,2.7,0.9759765862493858,False,True
02,14250.0,2.7,0.9757427359036928,False,True
02,14850.0,2.7,0.9578203498852801,False,True
