subject_id,anchor_center_phone_sec,recorder_time_minus_phone_time_sec,envelope_correlation,fitted_lag_sec,residual_sec,correlation_reliable
01,510.0,-2.3000000000000003,0.8484219215282736,-2.3,-4.440892098500626e-16,True
01,5819.48,-2.0,0.7015107627008924,-1.9999999999999998,-2.220446049250313e-16,True
01,11128.96,-1.7000000000000002,0.6442181091023481,-1.6999999999999997,-4.440892098500626e-16,True
01,16438.44,232.3,0.06979161156009984,-1.3999999999999997,233.70000000000002,False
01,21747.92,41.400000000000006,0.12293877904652449,-1.0999999999999996,42.50000000000001,False
02,510.0,1.9000000000000001,0.7794216711661619,3.225,-1.325,True
02,5579.79,2.2,0.9679655394393265,2.5625,-0.3624999999999998,True
02,10649.58,2.5,0.9743363156810532,1.9000000000000001,0.5999999999999999,True
02,15719.369999999999,-0.5,0.9022641251613744,1.2375000000000003,-1.7375000000000003,True
02,20789.16,-0.2,0.9711874805735,0.5750000000000002,-0.7750000000000001,True
03,510.0,-2.2,0.888298428097038,6.7250000000000005,-8.925,True
03,5819.48,-1.9000000000000001,0.9736977000604585,0.7625000000000002,-2.6625000000000005,True
03,11128.96,-5.2,0.8735132907605282,-5.2,0.0,True
03,16438.44,-21.400000000000002,0.8584993385793727,-11.162500000000001,-10.2375,True
03,21747.92,-24.3,0.9468113587391638,-17.125,-7.175000000000001,True
04,510.0,-0.6000000000000001,0.881168034236309,2.5916666666666672,-3.1916666666666673,True
04,5579.79,-0.30000000000000004,0.5533226240044046,0.9958333333333336,-1.2958333333333336,True
04,10649.58,0.1,0.707301565268149,-0.6000000000000001,0.7000000000000001,True
04,15719.369999999999,-6.300000000000001,0.6273433181843456,-2.1958333333333333,-4.104166666666668,True
04,20789.16,-5.9,0.6376415207259598,-3.7916666666666674,-2.108333333333333,True
05,510.0,1.1,0.8003804280966986,2.3666666666666667,-1.2666666666666666,True
05,5819.48,1.4000000000000001,0.5015556861672891,1.7333333333333334,-0.33333333333333326,True
05,11128.96,1.7000000000000002,0.8193226012376579,1.1000000000000003,0.5999999999999999,True
05,16438.44,-1.2000000000000002,0.9424823635324419,0.466666666666667,-1.6666666666666672,True
05,21747.92,-0.9,0.9585978274265514,-0.16666666666666652,-0.7333333333333335,True
06,510.0,1.8,0.9266060987200472,3.0666666666666664,-1.2666666666666664,True
06,5819.48,2.1,0.8818695701840286,2.433333333333333,-0.33333333333333304,True
06,11128.96,2.4000000000000004,0.8878699582137586,1.8,0.6000000000000003,True
06,16438.44,-0.5,0.9236587172171015,1.1666666666666667,-1.6666666666666667,True
06,21747.92,-0.2,0.9118869292611944,0.5333333333333332,-0.7333333333333332,True
07,510.0,2.4000000000000004,0.7803416862244411,4.6000000000000005,-2.2,True
07,9688.2,3.0,0.7150839560065226,2.7000000000000006,0.2999999999999994,True
07,18866.4,0.30000000000000004,0.67317958195717,0.8000000000000003,-0.5000000000000002,True
07,28044.600000000002,0.8,0.6926517611763544,-1.0999999999999996,1.8999999999999997,True
07,37222.8,-10.0,0.7009989372450406,-3.0,-7.0,True
08,510.0,1.2000000000000002,0.8377822137938212,4.4,-3.2,True
08,10603.144,1.8,0.8117358898764011,1.8000000000000003,-2.220446049250313e-16,True
08,20696.288,-0.8,0.7560028482156286,-0.7999999999999998,-2.220446049250313e-16,True
08,30789.432,-3.4000000000000004,0.6467064274885619,-3.3999999999999995,-8.881784197001252e-16,True
08,40882.576,-12.700000000000001,0.8464901675338911,-6.0,-6.700000000000001,True
09,510.0,1.5,0.48300576511599563,3.7,-2.2,True
09,10020.616,2.0,0.8184138852106626,1.7999999999999998,0.20000000000000018,True
09,19531.232,-0.7000000000000001,0.8113731744999673,-0.10000000000000009,-0.6,True
09,29041.847999999998,-0.1,0.6474006755790229,-2.0000000000000004,1.9000000000000004,True
09,38552.464,-12.600000000000001,0.7541205767521149,-3.900000000000001,-8.700000000000001,True
10,510.0,-2.4000000000000004,0.8298256889220719,1.475000000000001,-3.8750000000000013,True
10,10439.192,-1.8,0.9152568976778681,-2.862499999999999,1.062499999999999,True
10,20368.384,-7.800000000000001,0.9047878209677899,-7.2,-0.6000000000000005,True
10,30297.575999999997,-7.2,0.8908406592120893,-11.537500000000001,4.337500000000001,True
10,40226.768,-26.3,0.7367622224277763,-15.875,-10.425,True
13,510.0,1.5,0.8901220841927114,3.749999999999999,-2.249999999999999,True
13,9536.328,2.0,0.937256573290635,1.7749999999999995,0.22500000000000053,True
13,18562.656,-0.8,0.7897764219796874,-0.20000000000000018,-0.5999999999999999,True
