experiment_family,results_root,representation,base_representation,feature,classifier,protocol,train_domain,test_domain,fold,feature_dimension,n_test,evaluation_unit,run_id,experiment_key,timestamp,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,macro_f1,mcc,cohen_kappa,roc_auc,tn,fp,fn,tp
main_benchmark,P0_device_gap,data2vec_audio,data2vec_audio,,mlp,S_R,S,R,3,768.0,3970,window-level (per-fold test set),00134dd441f19e89,00134dd441f19e89,2026-08-18T02:21:15.010794+00:00,0.5120906801007556,0.5105772327577477,0.5404858299595142,0.13505311077389984,0.8861013547415956,0.2161068393363011,0.4309643723103155,0.03204466108232511,0.021218354925811256,0.532008209816807,1766,227,1710,267
main_benchmark,P0_device_gap,wavlm_large,wavlm_large,,svm_rbf,RS_RS,R+S,R+S,0,1024.0,8006,window-level (per-fold test set),002956b7913a7181,002956b7913a7181,2026-08-19T17:21:28.070033+00:00,0.5860604546590057,0.5873342820762489,0.5667506297229219,0.6835443037974683,0.4911242603550296,0.6196924489327519,0.5827977180262554,0.17789751823907346,0.17419947857185814,0.641355048310988,1992,2064,1250,2700
main_benchmark,P0_device_gap,wavlm,wavlm,,svm_rbf,R_S,R,S,2,768.0,3966,window-level (per-fold test set),00357f1b5a1f7c3d,00357f1b5a1f7c3d,2026-08-18T10:52:44.964625+00:00,0.5085728693898134,0.5104132334810366,0.5573333333333333,0.10491967871485944,0.9159067882472138,0.1765948457963667,0.4131851138236101,0.03558856743798174,0.020749672959675003,0.5934604680118651,1808,166,1783,209
main_benchmark,P0_device_gap,full_fusion_plus_hear,full_fusion_plus_hear,,random_forest,S_S,S,S,4,4352.0,3869,window-level (per-fold test set),0064e7b600957e3d,0064e7b600957e3d,2026-08-19T11:07:59.412711+00:00,0.6050659085034893,0.6060341964805668,0.6266741071428571,0.5665993945509586,0.6454689984101749,0.5951245363010069,0.6048276566469717,0.21258199066598327,0.21155788692575928,0.6536546191826065,1218,669,859,1123
main_benchmark,P0_device_gap,full_fusion,full_fusion,,xgboost,RS_RS,R+S,R+S,4,3840.0,7738,window-level (per-fold test set),00c1c8edd4546183,00c1c8edd4546183,2026-08-19T18:11:46.969296+00:00,0.570302403721892,0.5725864390537626,0.6010116977552956,0.4795660948536831,0.665606783253842,0.5334642907254105,0.5676065015730298,0.14760739392164265,0.14443819066094432,0.6190518254646883,2512,1262,2063,1901
main_benchmark,P0_device_gap,classical,classical,,svm_rbf,R_R,R,R,1,52.0,3990,window-level (per-fold test set),00d46f251b34d7a2,00d46f251b34d7a2,2026-08-17T16:44:04.017969+00:00,0.575187969924812,0.5762522711402926,0.6127873563218391,0.42458934793429565,0.7279151943462897,0.5016171714201706,0.5657245062167462,0.15998372122990587,0.15217425642483684,0.6086274058508544,1442,539,1156,853
main_benchmark,P0_device_gap,odi_hb,odi_hb,,xgboost,S_R,S,R,3,2.0,3970,window-level (per-fold test set),012380138c4d44fd,012380138c4d44fd,2026-08-19T07:19:48.503892+00:00,0.5027707808564231,0.5018734006046961,0.5013623978201635,0.27921092564491656,0.7245358755644756,0.3586744639376218,0.47633435249534317,0.004184645782073807,0.003753477172131481,0.4983019729396844,1444,549,1425,552
main_benchmark,P0_device_gap,full_fusion_plus_hear,full_fusion_plus_hear,,mlp,RS_RS,R+S,R+S,1,4352.0,7980,window-level (per-fold test set),01273ab898baa9ce,01273ab898baa9ce,2026-08-19T18:13:35.380896+00:00,0.6155388471177945,0.6151382383514468,0.6066936208445642,0.672224987555998,0.5580514891468955,0.6377804014167651,0.6140837921636562,0.23183014761605464,0.2304523923937667,0.660215677608259,2211,1751,1317,2701
main_benchmark,P0_device_gap,odi_hb,odi_hb,,random_forest,R_S,R,S,0,2.0,4003,window-level (per-fold test set),01418cfe6361b147,01418cfe6361b147,2026-08-19T07:19:13.637268+00:00,0.5058705970522108,0.5033690360272639,0.4987951807228916,0.31443037974683546,0.6923076923076923,0.38571428571428573,0.4862127634171094,0.007277318279037631,0.006770773879785419,0.5038940903303123,1404,624,1354,621
main_benchmark,P0_device_gap,full_fusion,full_fusion,,random_forest,R_R,R,R,4,3840.0,3869,window-level (per-fold test set),01525402f4944976_retry_20260818T212000_1633805,01525402f4944976,2026-08-18T21:20:05.384209+00:00,0.5683639183251487,0.5708341154117851,0.6005154639175257,0.47023208879919276,0.6714361420243773,0.5274476513865308,0.5651034641328467,0.14447788326441174,0.14089875730595658,0.6251920437086935,1267,620,1050,932
