representation,classifier,protocol,metric,filtered_point,baseline_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_fusion,svm_rbf,R_R,f1,0.5024599816065514,0.5547313729905512,-0.05227139138399983,-0.0515246899506522,0.014667789502467932,-0.0796134816177368,-0.023041233078017097,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_R,balanced_accuracy,0.5719699040405831,0.5782914321370939,-0.0063215280965107645,-0.006145079964802404,0.0054162077148183834,-0.01733512963631995,0.003704023626828663,0.243,2000,subject,CI includes zero
full_fusion,svm_rbf,R_R,roc_auc,0.6209505083932909,0.626438246494307,-0.005487738101016104,-0.005374610020649048,0.006130827792426578,-0.018690346798754368,0.005311514152441521,0.38,2000,subject,CI includes zero
full_fusion,svm_rbf,R_R,mcc,0.1517864913859707,0.16704888705207727,-0.01526239566610657,-0.014981273110350983,0.010727919639724444,-0.03644792858640106,0.0048377501828394094,0.146,2000,subject,CI includes zero
full_fusion,svm_rbf,S_S,f1,0.48623709364797474,0.5688250341824791,-0.08258794053450436,-0.08264111645274762,0.014772694751510593,-0.11209979103099835,-0.05383519315653416,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_S,balanced_accuracy,0.5787995438913203,0.5951806066270218,-0.0163810627357015,-0.01631563959360981,0.005966404168098478,-0.027963595350136258,-0.004695923288129407,0.009,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_S,roc_auc,0.6402589618322403,0.6426883504015177,-0.0024293885692774353,-0.0024727094132605564,0.004791827667634988,-0.011394880891385554,0.0069262586156243235,0.603,2000,subject,CI includes zero
full_fusion,svm_rbf,S_S,mcc,0.1679124232175843,0.2006036182420121,-0.0326911950244278,-0.032550918931010205,0.012416221413795142,-0.05675984453964453,-0.00856719376935752,0.012,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,f1,0.1838814960508636,0.21178096425358872,-0.027899468202725125,-0.028124843728414246,0.02298271739266902,-0.07827885595778974,0.013530806945649574,0.207,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,balanced_accuracy,0.5136688416147547,0.5194993168120328,-0.005830475197278084,-0.00598863194894403,0.009839015706570108,-0.028155977681406746,0.009814798343237233,0.608,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,roc_auc,0.5816420464643526,0.5821216957775239,-0.0004796493131713486,-0.0006345977828656566,0.009971436124505847,-0.022002662706278115,0.016428377075526523,0.986,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,mcc,0.022753061701922494,0.032854395348030016,-0.010101333646107522,-0.010771675475373301,0.022385415771473967,-0.06216557243627279,0.027356539670380254,0.68,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,f1,0.17370876019325066,0.3002776476626214,-0.12656888746937073,-0.12721071045165952,0.026125626785457306,-0.18125940401083732,-0.07815753286172909,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,balanced_accuracy,0.5242392941978617,0.535630326808969,-0.011391032611107299,-0.011595895156213832,0.006435143627579389,-0.025075232184620492,-0.00010923951439861256,0.046,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,roc_auc,0.5948374781714052,0.5845537286986863,0.010283749472718928,0.009924912852186309,0.007698676251995259,-0.00510284501905242,0.024501887577133116,0.213,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,mcc,0.05563440035791748,0.07042261008092886,-0.014788209723011377,-0.015137890689551044,0.015633793701714492,-0.04627063919029774,0.01373482951199194,0.346,2000,subject,CI includes zero
full_fusion,mlp,R_R,f1,0.45361306278472857,0.5654573614497161,-0.11184429866498757,-0.1121078388450837,0.018538703873939712,-0.1505675958145287,-0.07797876671728626,0.0,2000,subject,CI excludes zero
full_fusion,mlp,R_R,balanced_accuracy,0.5574789268156255,0.5676393968931283,-0.010160470077502759,-0.009985253169546848,0.0073622381469984665,-0.024626580369469405,0.0046806631300992125,0.174,2000,subject,CI includes zero
