representation,classifier,protocol,metric,ablation_point,full_fusion_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_minus_hubert,xgboost,R_R,roc_auc,0.6166420935219465,0.6218681584641266,-0.005226064942180031,-0.005040227892124401,0.005237778711438384,-0.015482555656576674,0.004640290669863767,0.339,2000,subject,CI includes zero
full_minus_hubert,xgboost,R_R,mcc,0.15909176804313527,0.1567111334732868,0.0023806345698484666,0.0026196567123047314,0.007778231679079082,-0.012394190388412782,0.01811317843521827,0.751,2000,subject,CI includes zero
full_minus_hubert,xgboost,S_S,f1,0.5633754521595787,0.5702845272885622,-0.006909075128983422,-0.006809932726905958,0.010935671072692658,-0.027684647804215284,0.01526471016422474,0.502,2000,subject,CI includes zero
full_minus_hubert,xgboost,S_S,balanced_accuracy,0.5867822613745776,0.5958871489454555,-0.009104887570877906,-0.009088173637079719,0.004882204256318886,-0.01892120887070818,0.0005447313633903625,0.062,2000,subject,CI includes zero
full_minus_hubert,xgboost,S_S,roc_auc,0.6294992020105188,0.6441655953756233,-0.014666393365104557,-0.01462809753871864,0.005241543884511434,-0.02490815621719805,-0.004388211310586212,0.004,2000,subject,CI excludes zero
full_minus_hubert,xgboost,S_S,mcc,0.1800517927023792,0.19911749074940108,-0.01906569804702188,-0.018991829894466225,0.01033246135099269,-0.0392374437308647,0.0014650272585084916,0.068,2000,subject,CI includes zero
full_minus_hubert,xgboost,R_S,f1,0.1905806174760135,0.2053401903880496,-0.014759572912036112,-0.014532758840463187,0.016466479965900095,-0.047275638868802254,0.017837432387602818,0.38,2000,subject,CI includes zero
full_minus_hubert,xgboost,R_S,balanced_accuracy,0.5167926432851979,0.5206025548100288,-0.0038099115248309,-0.0037464392143046767,0.005566599157242811,-0.01469536431112021,0.007315523146329494,0.496,2000,subject,CI includes zero
full_minus_hubert,xgboost,R_S,roc_auc,0.6051167672450353,0.5989447895517507,0.0061719776932845916,0.00619128256348487,0.008732743922585063,-0.009808628660219003,0.02369653977828822,0.492,2000,subject,CI includes zero
full_minus_hubert,xgboost,R_S,mcc,0.0389063205440037,0.04855514262723246,-0.009648822083228766,-0.009812663379275144,0.015711102163983654,-0.0414656337331443,0.01992224568064462,0.53,2000,subject,CI includes zero
full_minus_hubert,xgboost,S_R,f1,0.35818800731688716,0.2642186268747714,0.09396938044211578,0.09427097894555027,0.028333507761451528,0.03843312894057099,0.14825369905028146,0.002,2000,subject,CI excludes zero
full_minus_hubert,xgboost,S_R,balanced_accuracy,0.5279101706968875,0.5211121711792622,0.006797999517625275,0.006954444593790709,0.006607724167102051,-0.006155896678471202,0.01964030609211013,0.294,2000,subject,CI includes zero
full_minus_hubert,xgboost,S_R,roc_auc,0.5706588355096347,0.5753049849093753,-0.004646149399740618,-0.00446505139804432,0.011358137306376833,-0.02735927449491173,0.017651475268123835,0.705,2000,subject,CI includes zero
full_minus_hubert,xgboost,S_R,mcc,0.06299569185918306,0.0478621748721494,0.015133516987033663,0.015457821790818607,0.017103664103684562,-0.01786259315899044,0.04834302798997381,0.37,2000,subject,CI includes zero
full_minus_wavlm,svm_rbf,R_R,f1,0.5464041910187538,0.5547313729905512,-0.008327181971797382,-0.008668211753337872,0.009323264080968226,-0.02635719668817989,0.010764802645494839,0.332,2000,subject,CI includes zero
