representation,protocol,fold,feature_dimension,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,macro_f1,mcc,cohen_kappa,roc_auc,tn,fp,fn,tp,n
data2vec_fusion,R_S,2,1536,,0.5322147251620464,,0.267570281124498,0.7968591691995948,0.3643198906356801,,0.0759214739267044,,0.5657522440318519,,,,,
data2vec_fusion,R_S,3,1536,,0.608477800780222,,0.5245321193727871,0.6924234821876568,0.5718224427901847,,0.2201110710629405,,0.6541681926195402,,,,,
data2vec_fusion,R_S,4,1536,,0.5055273561684199,,0.1488395560040363,0.8622151563328034,0.2325581395348837,,0.0157638566713673,,0.5450195105178188,,,,,
data2vec_fusion,S_R,0,1536,,0.5270147055151924,,0.2749367088607595,0.7790927021696252,0.366149696561025,,0.062586900962259,,0.5548538186902354,,,,,
data2vec_fusion,S_R,1,1536,,0.5788923343188865,,0.6938775510204082,0.463907117617365,0.6244120940649496,,0.1621698620255773,,0.6065682721544067,,,,,
data2vec_fusion,S_R,2,1536,,0.5236180283443805,,0.3197791164658634,0.7274569402228976,0.4022734449005368,,0.0517241097808996,,0.5703904778180604,,,,,
data2vec_fusion,S_R,3,1536,,0.5203736598580616,,0.1380880121396054,0.9026593075765178,0.2234042553191489,,0.0632379120143126,,0.6022280561631872,,,,,
data2vec_fusion,S_R,4,1536,,0.5061843020678422,,0.1437941473259334,0.8685744568097509,0.2266401590457256,,0.0179383229934405,,0.5409363925568591,,,,,
full_fusion,R_S,0,3840,,0.4936422989538861,,0.0794936708860759,0.9077909270216964,0.1354031910306166,,-0.0226823056026005,,0.5657533767757721,,,,,
full_fusion,R_S,1,3840,,0.5033119513426331,,0.1742160278745644,0.8324078748107017,0.2601263470828688,,0.00879774179637,,0.5841958285142402,,,,,
full_fusion,R_S,2,3840,,0.5190267147617826,,0.1601405622489959,0.8779128672745694,0.25,,0.0546381151493213,,0.5497471140895904,,,,,
full_fusion,R_S,3,3840,,0.5973216576683034,,0.3702579666160849,0.8243853487205218,0.4785877737822818,,0.218566829473304,,0.6428046975745407,,,,,
full_fusion,R_S,4,3840,,0.5147684486290767,,0.1185671039354187,0.9109697933227344,0.1970649895178197,,0.0483321200167548,,0.5535301283357317,,,,,
full_fusion,S_R,0,3840,,0.5403516590517564,,0.2389873417721519,0.841715976331361,0.3410404624277456,,0.1012324637138901,,0.5972733627942975,,,,,
full_fusion,S_R,1,3840,,0.5536288116901504,,0.3758088601294176,0.7314487632508834,0.458131067961165,,0.1147223618475717,,0.607122064792231,,,,,
full_fusion,S_R,2,3840,,0.5422197910181761,,0.1842369477911646,0.9002026342451874,0.2871674491392801,,0.1208808790444184,,0.60043008915093,,,,,
full_fusion,S_R,3,3840,,0.545604481644278,,0.2362164896307536,0.8549924736578023,0.3417489937797292,,0.1161477147898743,,0.6163735441267502,,,,,
full_fusion,S_R,4,3840,,0.5480438145749478,,0.3335015136226034,0.762586115527292,0.427693303138143,,0.1062147763207173,,0.588443313616935,,,,,
hubert,R_S,0,768,,0.595779342371358,,0.4430379746835443,0.7485207100591716,0.5208333333333334,,0.2013305425965714,,0.6218012383591741,,,,,
hubert,R_S,1,768,,0.526179014223978,,0.2956694873071179,0.756688541140838,0.3850891410048622,,0.0589881235906091,,0.5971482694356969,,,,,
hubert,R_S,2,768,,0.5173322469208139,,0.0873493975903614,0.9473150962512664,0.1533039647577092,,0.0678867863288074,,0.5724060120929513,,,,,
hubert,R_S,3,768,,0.5340000065987152,,0.2827516439049064,0.7852483692925238,0.3771929824561403,,0.0786648607065249,,0.604026332934111,,,,,
hubert,R_S,4,768,,0.5063546213750998,,0.1054490413723511,0.9072602013778484,0.176669484361792,,0.02124664916553,,0.5480665416410653,,,,,
hubert,S_R,0,768,,0.5305206850922528,,0.3356962025316455,0.72534516765286,0.4150234741784037,,0.066298740858966,,0.5517556737323046,,,,,
hubert,S_R,1,768,,0.5682045635629068,,0.3847685415629666,0.7516405855628471,0.4722052535125229,,0.1465706858276785,,0.6179146139193418,,,,,
hubert,S_R,2,768,,0.5519196848183006,,0.2233935742971887,0.8804457953394124,0.3329592218481107,,0.1376699140762669,,0.5914415005513441,,,,,
hubert,S_R,3,768,,0.60830724937382,,0.4820435002529084,0.7345709984947315,0.5510263081815554,,0.2239212017475335,,0.6517372005864736,,,,,
hubert,S_R,4,768,,0.5675361507408756,,0.4223007063572149,0.7127715951245363,0.4980660517703064,,0.1409685615953767,,0.6169232686119965,,,,,
