comparison,left,right,classifier,metric,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_fusion_vs_wavlm_large_S_R,full_fusion/S_R,wavlm_large/S_R,svm_rbf,roc_auc,0.027718279243246324,0.028029877511419325,0.01743953630803856,-0.006911451119757645,0.06039598086257828,0.114,2000,subject,CI includes zero
full_fusion_vs_wavlm_large_S_R,full_fusion/S_R,wavlm_large/S_R,svm_rbf,mcc,0.005241815435743202,0.005630075574997192,0.020934610018669746,-0.03393902259865781,0.04626523271210181,0.804,2000,subject,CI includes zero
wavlm_large_vs_classical_S_R,wavlm_large/S_R,classical/S_R,svm_rbf,f1,0.2521027757103428,0.25292612412015647,0.03437435278190833,0.18596832701490926,0.31943375419748604,0.0,2000,subject,CI excludes zero
wavlm_large_vs_classical_S_R,wavlm_large/S_R,classical/S_R,svm_rbf,balanced_accuracy,0.040014303259469086,0.04030410012180387,0.009723937787426818,0.021608835293389878,0.05963577958433342,0.0,2000,subject,CI excludes zero
wavlm_large_vs_classical_S_R,wavlm_large/S_R,classical/S_R,svm_rbf,roc_auc,0.09237714883181408,0.09295336191695826,0.02290086651072287,0.0473195850600614,0.13921982626088342,0.0,2000,subject,CI excludes zero
wavlm_large_vs_classical_S_R,wavlm_large/S_R,classical/S_R,svm_rbf,mcc,0.08919910374575357,0.08964199319892348,0.02272969697618739,0.044339280833998816,0.13521919941285818,0.0,2000,subject,CI excludes zero
full_fusion_plus_hear_vs_full_fusion_S_R,full_fusion_plus_hear/S_R,full_fusion/S_R,svm_rbf,f1,-0.012423622871654327,-0.012438057770815258,0.006266191374549735,-0.02562946736627855,-0.0003348724264873794,0.042,2000,subject,CI excludes zero
full_fusion_plus_hear_vs_full_fusion_S_R,full_fusion_plus_hear/S_R,full_fusion/S_R,svm_rbf,balanced_accuracy,-0.0009095238390879334,-0.0008476360627913269,0.002373940416691567,-0.005721963354909735,0.003635298231773441,0.73,2000,subject,CI includes zero
full_fusion_plus_hear_vs_full_fusion_S_R,full_fusion_plus_hear/S_R,full_fusion/S_R,svm_rbf,roc_auc,-0.0012332996198817225,-0.0013489249759586696,0.0031110427017681883,-0.007706846914220542,0.004634611061801974,0.679,2000,subject,CI includes zero
full_fusion_plus_hear_vs_full_fusion_S_R,full_fusion_plus_hear/S_R,full_fusion/S_R,svm_rbf,mcc,0.0011933087588600622,0.0012928447854125972,0.0072072165239967165,-0.013447641779477828,0.015049403092610068,0.856,2000,subject,CI includes zero
full_fusion_R_R_vs_R_S,full_fusion/R_R,full_fusion/R_S,svm_rbf,f1,0.3429504087369625,0.3428993891306296,0.037038963684148225,0.2717977053686878,0.41343157453637347,0.0,2000,subject,CI excludes zero
full_fusion_R_R_vs_R_S,full_fusion/R_R,full_fusion/R_S,svm_rbf,balanced_accuracy,0.05879211532506112,0.05874489080983493,0.013041819280579731,0.03263729571917869,0.0843609686212705,0.0,2000,subject,CI excludes zero
full_fusion_R_R_vs_R_S,full_fusion/R_R,full_fusion/R_S,svm_rbf,roc_auc,0.04431655071678309,0.04404261610590209,0.015242973285651181,0.015039641633015417,0.07392591097917736,0.001,2000,subject,CI excludes zero
full_fusion_R_R_vs_R_S,full_fusion/R_R,full_fusion/R_S,svm_rbf,mcc,0.13419449170404724,0.13398108053391036,0.028006896966253764,0.07970792585651053,0.18807664009810726,0.0,2000,subject,CI excludes zero
full_fusion_S_S_vs_S_R,full_fusion/S_S,full_fusion/S_R,svm_rbf,f1,0.2685473865198577,0.26562835243116467,0.03627330546246753,0.19496568533436737,0.3364495603036032,0.0,2000,subject,CI excludes zero
full_fusion_S_S_vs_S_R,full_fusion/S_S,full_fusion/S_R,svm_rbf,balanced_accuracy,0.05955027981805272,0.058661897982934884,0.016111522896534346,0.027690954117292062,0.09134372319099879,0.0,2000,subject,CI excludes zero
full_fusion_S_S_vs_S_R,full_fusion/S_S,full_fusion/S_R,svm_rbf,roc_auc,0.05813462170283146,0.05710400076774073,0.016724811881867502,0.024945334538643886,0.09115816207447604,0.0,2000,subject,CI excludes zero
full_fusion_S_S_vs_S_R,full_fusion/S_S,full_fusion/S_R,svm_rbf,mcc,0.13018100816108324,0.12805598258024967,0.03507791382878058,0.060058435360298604,0.19626816864213883,0.001,2000,subject,CI excludes zero
