representation,classifier,protocol,metric,point_estimate,bootstrap_mean,bootstrap_std,ci95_low,ci95_high,bootstrap_iterations,unit
classical,svm_rbf,R_R,f1,0.4762512271243935,0.4756165674019399,0.03267839177067967,0.4104266588347129,0.5373733996055448,2000,subject
classical,svm_rbf,R_R,balanced_accuracy,0.5474320877103979,0.5472886088698605,0.011773062689328692,0.5250175776149999,0.5702688194483306,2000,subject
classical,svm_rbf,R_R,roc_auc,0.583674525403816,0.583596218031812,0.016531218574574225,0.5515289036854425,0.6160548043439243,2000,subject
classical,svm_rbf,R_R,mcc,0.10763362812935265,0.10759288415401669,0.027030974527250742,0.05515121173292629,0.1607682867759095,2000,subject
classical,svm_rbf,S_S,f1,0.47191845294099194,0.47203236963588857,0.03517558280283692,0.40203463153556257,0.5390768644240539,2000,subject
classical,svm_rbf,S_S,balanced_accuracy,0.5553094630065385,0.5550793346928201,0.01237118093539942,0.5310773816931126,0.5783569510616627,2000,subject
classical,svm_rbf,S_S,roc_auc,0.5795136628735146,0.5788802707126541,0.018358129975657205,0.5428462437427696,0.6140157969503335,2000,subject
classical,svm_rbf,S_S,mcc,0.11130408272921309,0.11079888590240733,0.027705738219397653,0.05686417534418152,0.16402983653559522,2000,subject
classical,svm_rbf,R_S,f1,0.00415655566904673,0.004149462571264342,0.0034494747184260783,0.0,0.011875770977401083,2000,subject
classical,svm_rbf,R_S,balanced_accuracy,0.5005155598449375,0.500511650754224,0.000662008896121364,0.4996467270394408,0.5020435551603445,2000,subject
classical,svm_rbf,R_S,roc_auc,0.4863990303680291,0.48661720919627405,0.015093457741713431,0.4580906130683661,0.5168844091641425,2000,subject
classical,svm_rbf,R_S,mcc,0.0004942238714987136,0.0004093471529250215,0.004015102467747923,-0.006762912518668167,0.009059927693173375,2000,subject
classical,svm_rbf,S_R,f1,0.04650356337303805,0.04598500410230455,0.01644560032869491,0.01747708965877843,0.08093509689389178,2000,subject
classical,svm_rbf,S_R,balanced_accuracy,0.4920321398647838,0.4920647370216103,0.00369825357635773,0.48398831892523736,0.4986203195105125,2000,subject
classical,svm_rbf,S_R,roc_auc,0.46445830062362586,0.46393580125117523,0.01587839513014444,0.4325127233373653,0.49438478720404616,2000,subject
classical,svm_rbf,S_R,mcc,-0.02401830910056792,-0.024017187715822997,0.009818628835718811,-0.04446552456761691,-0.006571819753104035,2000,subject
wavlm_large,svm_rbf,R_R,f1,0.6360502385888469,0.6360410794187231,0.016923087898540263,0.6004337832729063,0.6672853705762956,2000,subject
wavlm_large,svm_rbf,R_R,balanced_accuracy,0.6113224779589406,0.6115385999935485,0.013847071387352737,0.5846751739076127,0.6366427833669412,2000,subject
wavlm_large,svm_rbf,R_R,roc_auc,0.6580362881477936,0.658292975047284,0.017363973546874828,0.625212720484469,0.6914138185012798,2000,subject
wavlm_large,svm_rbf,R_R,mcc,0.23532883748230915,0.23581415186092033,0.029559601494667024,0.17883603647163507,0.2895032859236407,2000,subject
wavlm_large,svm_rbf,S_S,f1,0.6193225196231504,0.6193311062851401,0.01693491109160156,0.5847437916879895,0.651596682361796,2000,subject
wavlm_large,svm_rbf,S_S,balanced_accuracy,0.6122503515874426,0.6121792758518497,0.013392752377486253,0.586720245861156,0.6386618781649895,2000,subject
wavlm_large,svm_rbf,S_S,roc_auc,0.6651653541371477,0.6651049531001011,0.017468533403670203,0.6312057487397474,0.7001769499411968,2000,subject
wavlm_large,svm_rbf,S_S,mcc,0.23666659601904247,0.23646973996585188,0.027474513828263488,0.18512517303177267,0.2899786970183759,2000,subject
wavlm_large,svm_rbf,R_S,f1,0.25463259555865136,0.25364156324097725,0.02469729389043769,0.20554305652430643,0.3024714230112768,2000,subject
wavlm_large,svm_rbf,R_S,balanced_accuracy,0.5335985187552246,0.5332929004669106,0.006493978805389956,0.5216819864754066,0.5466612157372034,2000,subject
wavlm_large,svm_rbf,R_S,roc_auc,0.5696501418283488,0.5689130754746119,0.018065438014088137,0.5328397724101211,0.6040487026838232,2000,subject
wavlm_large,svm_rbf,R_S,mcc,0.09388760990321104,0.09300624871041296,0.016459835567284805,0.06139522402766285,0.12614508586942083,2000,subject
wavlm_large,svm_rbf,S_R,f1,0.29860633908338086,0.2981930314701644,0.034086143414880914,0.232973357575505,0.36730051645730977,2000,subject
wavlm_large,svm_rbf,S_R,balanced_accuracy,0.5320464431242529,0.5318181706997333,0.008848218246177429,0.5146548964745903,0.5499826565382897,2000,subject
wavlm_large,svm_rbf,S_R,roc_auc,0.55683544945544,0.5566883594754285,0.014764230100493035,0.5279188730713577,0.5853826622788804,2000,subject
wavlm_large,svm_rbf,S_R,mcc,0.06518079464518566,0.06468877110699231,0.021057805557648628,0.023486250134359454,0.10676940769420826,2000,subject
data2vec_fusion,svm_rbf,R_R,f1,0.5546831301194395,0.5555009897612301,0.02693274229781234,0.5014508788774313,0.6079942079237136,2000,subject
data2vec_fusion,svm_rbf,R_R,balanced_accuracy,0.5748607960607585,0.5752203735060257,0.013947841326838486,0.5471553091672807,0.6015918101856127,2000,subject
data2vec_fusion,svm_rbf,R_R,roc_auc,0.6067997759578514,0.6074822914626783,0.018391859486313222,0.5707716831846934,0.6422753784220855,2000,subject
data2vec_fusion,svm_rbf,R_R,mcc,0.15993893188827651,0.16079782444245747,0.03030106768583017,0.10052647656267517,0.21873917642930887,2000,subject
data2vec_fusion,svm_rbf,S_S,f1,0.5828322311714494,0.5826716106307827,0.019943838247267254,0.5431192117332942,0.6196078990282969,2000,subject
