run_id,representation,classifier,protocol,fold,feature_dimension,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,macro_f1,mcc,cohen_kappa,roc_auc,tn,fp,fn,tp,n
00357f1b5a1f7c3d,wavlm,svm_rbf,R_S,2,768,0.5085728693898134,0.5104132334810366,0.5573333333333333,0.10491967871485944,0.9159067882472138,0.1765948457963667,0.4131851138236101,0.03558856743798174,0.020749672959675003,0.5934604680118651,1808,166,1783,209,3966
019bbce2889288f7,hubert,svm_rbf,S_R,0,768,0.5331001748688483,0.5305206850922528,0.5434426229508197,0.33569620253164556,0.72534516765286,0.41502347417840374,0.5132693758337457,0.06629874085896603,0.061347818259261944,0.5517556737323046,1471,557,1312,663,4003
0209a11f7741063f,wav2vec2,svm_rbf,R_S,1,768,0.5040100250626567,0.5066538034674354,0.5304878048780488,0.12991538078646092,0.8833922261484098,0.20871651339464214,0.4237596073087465,0.020236701088537857,0.013236969038509128,0.5765586913407587,1750,231,1748,261,3990
032b53db0f1204b5,classical,svm_rbf,S_R,4,52,0.4626518480227449,0.4702971951591884,0.4332874828060523,0.15893037336024218,0.7816640169581346,0.23255813953488372,0.4095779363413134,-0.07601423633555585,-0.05847359747808123,0.4736664158668076,1475,412,1667,315,3869
04d11e6e3525a16f,data2vec_fusion,svm_rbf,S_R,2,1536,0.5226928895612708,0.5236180283443805,0.5421276595744681,0.31977911646586343,0.7274569402228976,0.4022734449005368,0.5025008357766063,0.051724109780899696,0.04714789287435839,0.5703904778180604,1436,538,1355,637,3966
075f0ac6da553617,wav2vec2,svm_rbf,R_S,4,768,0.532695787025071,0.5421423976359573,0.6933333333333334,0.1574167507568113,0.9268680445151033,0.2565789473684211,0.45791631122661536,0.13141084385245994,0.08267616169097602,0.5787157282527378,1749,138,1670,312,3869
08a19deef290b841,full_fusion,svm_rbf,R_S,3,3840,0.5982367758186398,0.5973216576683034,0.6765249537892791,0.37025796661608495,0.8243853487205218,0.4785877737822818,0.5759052370243103,0.218566829473304,0.1949976620906021,0.6428046975745407,1643,350,1245,732,3970
0b2a554a30f43211,data2vec_audio,svm_rbf,R_S,1,768,0.5543859649122806,0.5550675669733549,0.5717837165941578,0.4579392732702837,0.6521958606764261,0.5085682697622996,0.5504785411168216,0.1122536240087653,0.109980381033008,0.5990494817742169,1292,689,1089,920,3990
0b850127789d4756,classical,svm_rbf,R_S,0,52,0.5066200349737696,0.5,0.0,0.0,1.0,0.0,0.33626264301110925,0.0,0.0,0.508217361995356,2028,0,1975,0,4003
0ba4e58fa5adb40f,full_fusion_v2,svm_rbf,R_S,2,3072,0.5211800302571861,0.5230343867872707,0.628099173553719,0.1144578313253012,0.9316109422492401,0.19363057324840766,0.4265624625252259,0.07988025607136312,0.04589764697029464,0.5739735792206313,1839,135,1764,228,3966
0c14214e21ad02a5,wavlm,svm_rbf,S_R,0,768,0.48488633524856356,0.4842336404264349,0.4759002770083102,0.43493670886075947,0.5335305719921104,0.4544973544973545,0.4832827520238784,-0.03168301484544455,-0.03156822581511931,0.5028035353157068,1082,946,1116,859,4003
0ceac0fde64f3ec4,wav2vec2,svm_rbf,S_R,4,768,0.5394158697337813,0.5440149741954218,0.5823723228995058,0.3567103935418769,0.7313195548489666,0.44242803504380473,0.5250449290146368,0.09482582205204768,0.08717960531855573,0.561712674269806,1380,507,1275,707,3869
0cfc2491cfe035c1,hubert,xgboost,R_S,2,768,0.5716086737266768,0.5726263717483917,0.6337899543378995,0.34839357429718876,0.7968591691995948,0.4496274700356333,0.5494783377009952,0.16244970587210825,0.14495514406206056,0.6303700109455044,1573,401,1298,694,3966
0ed4ad0c03c7e7f6,wav2vec2,svm_rbf,S_R,1,768,0.531328320802005,0.5316710843606597,0.5385896724042198,0.48282727725236435,0.5805148914689551,0.5091863517060368,0.5303725523518193,0.06364223131009143,0.06329585579378638,0.5554153206079959,1150,831,1039,970,3990
0f96aedd7754bd44,hubert,svm_rbf,R_S,1,768,0.5245614035087719,0.526179014223978,0.5520446096654275,0.29566948730711795,0.756688541140838,0.38508914100486225,0.4987754183063126,0.05898812359060919,0.052186748899481494,0.5971482694356969,1499,482,1415,594,3990
1283bdfd7f4a4cfe,data2vec_audio,svm_rbf,R_S,2,768,0.48663640948058495,0.48783431598735366,0.47649572649572647,0.22389558232931728,0.75177304964539,0.3046448087431694,0.44888515417174457,-0.028650059636538203,-0.02427270181078689,0.5100531304549505,1484,490,1546,446,3966
1b470ecfb0712327,hubert,mlp,R_S,0,768,0.5638271296527604,0.5626788255561381,0.5693519079345851,0.4759493670886076,0.6494082840236687,0.5184776613348042,0.5599237621742514,0.1273140037350364,0.1256269525415128,0.576330861608369,1317,711,1035,940,4003
1d35fdf675ef51ae,wavlm,svm_rbf,R_S,0,768,0.5533349987509368,0.5485393104137019,0.6703096539162113,0.18632911392405063,0.9107495069033531,0.29160063391442154,0.4827211487704176,0.14108920432378486,0.09800325695379297,0.6283469403040971,1847,181,1607,368,4003
2060f32edffa5785,classical,svm_rbf,R_S,3,52,0.507808564231738,0.5058412587708979,0.7446808510638298,0.017703591299949417,0.9939789262418465,0.03458498023715415,0.3521471216263526,0.054005170655933174,0.011728477005117033,0.4755506183630567,1981,12,1942,35,3970
21bd66b8bb68b0fd,data2vec_spectrogram,svm_rbf,S_R,1,768,0.5538847117794486,0.5540175218583512,0.5596043727225404,0.5350920856147336,0.5729429581019687,0.5470737913486005,0.5537838092545471,0.10810677961817186,0.10800161062591107,0.5955848856822743,1135,846,934,1075,3990
22b0318142fce26f,full_fusion_v2,svm_rbf,S_R,4,3072,0.5544068234685965,0.5595356887129903,0.6139575971731449,0.35065590312815337,0.7684154742978272,0.4463712267180475,0.5367669282379165,0.13082313151426245,0.11779968781155681,0.6055573291579703,1450,437,1287,695,3869
2d3e125f8451e39d,hubert,random_forest,R_S,2,768,0.5373171961674231,0.5387621916236374,0.608876560332871,0.22038152610441766,0.8571428571428571,0.3236269812016218,0.48601352892232846,0.10050359070601084,0.07729951489065834,0.612149204721622,1692,282,1553,439,3966
30da1514e19a534a,data2vec_spectrogram,svm_rbf,R_S,1,768,0.49548872180451126,0.49858938662942553,0.49137931034482757,0.05674464907914385,0.9404341241797072,0.10174029451137885,0.3754911613696466,-0.006027647095784439,-0.002803700745148019,0.5372173025524464,1863,118,1895,114,3990
31e9e34364137e87,full_fusion,svm_rbf,R_S,1,3840,0.5010025062656641,0.5033119513426331,0.5131964809384164,0.17421602787456447,0.8324078748107017,0.2601263470828688,0.4418423378447054,0.008797741796370044,0.006593125712314962,0.5841958285142402,1649,332,1659,350,3990
344a142ecf5bfa53,hubert,mlp,R_S,3,768,0.5415617128463476,0.5409492150193863,0.556842867487328,0.3889731917046029,0.6929252383341696,0.4580107206670637,0.5304021303029776,0.08597450738379037,0.08199765563439287,0.5574171969114967,1381,612,1208,769,3970
35e9e267abc15416,hubert,svm_rbf,S_R,2,768,0.5504286434694907,0.5519196848183006,0.6534508076358296,0.22339357429718876,0.8804457953394124,0.3329592218481107,0.49696069097729745,0.1376699140762669,0.10352872091758447,0.5914415005513441,1738,236,1547,445,3966
39d720830e4d4b1b,full_fusion_v2,svm_rbf,S_R,3,3072,0.5433249370277078,0.5420393988976593,0.6142061281337048,0.22306525037936267,0.8610135474159558,0.32727272727272727,0.4908050957621978,0.10922095930894132,0.08429427425180436,0.6295825221355168,1716,277,1536,441,3970
3ad4e05f6ac17b45,hubert,svm_rbf,S_R,4,768,0.5639700180925303,0.5675361507408756,0.6069615663524293,0.42230070635721495,0.7127715951245363,0.49806605177030644,0.5563211227551556,0.14096856159537677,0.13404573196983072,0.6169232686119965,1345,542,1145,837,3869
3fb2102e7d8998df,data2vec_audio,svm_rbf,R_S,4,768,0.5262341690359266,0.5325335277700685,0.5788359788359788,0.2759838546922301,0.7890832008479067,0.373761530577383,0.49637982993221674,0.0756997318208211,0.0642212403031015,0.5959943144901891,1489,398,1435,547,3869
412ee88e14c333ec,full_fusion,svm_rbf,R_S,4,3840,0.5050400620315327,0.5147684486290767,0.5831265508684863,0.11856710393541876,0.9109697933227345,0.1970649895178197,0.4196608340079291,0.04833212001675482,0.028956210510698854,0.5535301283357317,1719,168,1747,235,3869
ca7af677fc9b8049,data2vec_fusion,svm_rbf,R_S,0,1536,0.543592305770672,0.538381394652086,0.6745283018867925,0.1448101265822785,0.9319526627218935,0.23843268028345144,0.45629499182711897,0.12471092342629178,0.07755867926391669,0.603576261453574,1890,138,1689,286,4003
462224063dd995f1,classical,svm_rbf,R_S,4,52,0.4872059963814939,0.4994700582935877,0.0,0.0,0.9989401165871754,0.0,0.3275981925616962,-0.02330739770431649,-0.0010338844949666637,0.512855230727849,1885,2,1982,0,3869
46b06ee570b3de59,hubert,mlp,S_R,2,768,0.5181543116490166,0.5193288350972278,0.542319749216301,0.2605421686746988,0.7781155015197568,0.35198372329603256,0.4842399049953974,0.04517382395336548,0.038566310535293025,0.5437572224053255,1536,438,1473,519,3966
47b8167fe20e3f58,hubert,random_forest,S_R,2,768,0.524457892082703,0.5261715555230039,0.6090534979423868,0.14859437751004015,0.9037487335359676,0.23890234059725585,0.44655054690295504,0.0798123349035782,0.0521633083799784,0.5136617900172117,1784,190,1696,296,3966
4803b56333fdaad6,hubert,xgboost,S_R,3,768,0.5596977329974812,0.5586733638549288,0.6174358974358974,0.30450177035913,0.8128449573507276,0.4078590785907859,0.5287090100251444,0.13630985201757917,0.11758594863617688,0.6257380091828735,1620,373,1375,602,3970
48201fb08fa922b5,full_fusion,svm_rbf,S_R,4,3840,0.5427759110881365,0.5480438145749478,0.5960324616771867,0.33350151362260344,0.762586115527292,0.427693303138143,0.5235087991911933,0.1062147763207173,0.09503394352745853,0.588443313616935,1439,448,1321,661,3869
48b271cf7f3fefeb,full_fusion,svm_rbf,R_S,2,3840,0.5173978819969742,0.5190267147617826,0.5696428571428571,0.16014056224899598,0.8779128672745694,0.25,0.4471189591078067,0.05463811514932133,0.03792911503294205,0.5497471140895904,1733,241,1673,319,3966
4b339dcf8cee2a7f,data2vec_spectrogram,svm_rbf,S_R,2,768,0.5317700453857791,0.5324664921082506,0.5490909090909091,0.3790160642570281,0.6859169199594731,0.4484704484704485,0.5208398244542822,0.06821793178721781,0.06484141622612438,0.5297578358011581,1354,620,1237,755,3966
4d41d95d6f30e8e6,full_fusion_v2,svm_rbf,R_S,0,3072,0.49887584311766175,0.49335605322947096,0.45345345345345345,0.07645569620253165,0.9102564102564102,0.13084922010398614,0.389397934025317,-0.02405572866045906,-0.013433836801423071,0.5493377524779667,1846,182,1824,151,4003
4d4e83c2cf8d6772,full_fusion_v2,svm_rbf,S_R,0,3072,0.548088933300025,0.545432676703368,0.5693979933110368,0.3448101265822785,0.7460552268244576,0.4295175023651845,0.5276853282249914,0.09924966492320796,0.09133610387746094,0.594193818190897,1513,515,1294,681,4003
4dee3381c6348f18,hubert,mlp,S_R,0,768,0.5228578566075444,0.5211929193818191,0.5217100868403474,0.39544303797468355,0.6469428007889546,0.4498847926267281,0.5143116067235978,0.0437962446933535,0.04252031178422866,0.5333526826954286,1312,716,1194,781,4003
4f02e8f8619ce054,wav2vec2,svm_rbf,R_S,2,768,0.4921835602622289,0.49409797243685993,0.4645161290322581,0.07228915662650602,0.9159067882472138,0.12510860121633363,0.3836910679261064,-0.021986977389370114,-0.011758786789908937,0.5139214405748628,1808,166,1848,144,3966
4fcf80fa8485980d,hubert,random_forest,R_S,4,768,0.5055569914706642,0.5139902471474859,0.556836902800659,0.1705348133198789,0.8574456809750928,0.26110467361915796,0.4447881107462657,0.038455355771605026,0.02750025523299915,0.5869093703426226,1618,269,1644,338,3869
519eed793c557ab5,hubert,mlp,R_S,1,768,0.5533834586466165,0.5543851255920795,0.5795374912403644,0.4116475858636137,0.6971226653205452,0.48137369033760186,0.5446040986899277,0.11346346652322713,0.10854801820572191,0.6010299688755473,1381,600,1182,827,3990
588826c0a63e1f24,data2vec_spectrogram,svm_rbf,R_S,4,768,0.49185836133367794,0.5032235001072183,0.5555555555555556,0.04036326942482341,0.9660837307896132,0.07525870178739416,0.3624689802593421,0.01702358702600871,0.006299938416743478,0.5322109371198229,1823,64,1902,80,3869
687c51820f68bb04,data2vec_fusion,svm_rbf,R_S,4,1536,0.49676919100542777,0.5055273561684199,0.5315315315315315,0.14883955600403634,0.8622151563328034,0.23255813953488372,0.4291035266026658,0.01576385667136738,0.01085792868432589,0.5450195105178188,1627,260,1687,295,3869
5a0db2e633a64658,data2vec_fusion,svm_rbf,S_R,4,1536,0.49728612044455933,0.5061843020678422,0.5347091932457786,0.1437941473259334,0.8685744568097509,0.22664015904572565,0.4271244065379882,0.017938322993440538,0.012145099001368287,0.5409363925568591,1639,248,1697,285,3869
5b42ec6d07917449,wavlm,svm_rbf,S_R,3,768,0.5765743073047859,0.5766313863824346,0.5725490196078431,0.5907941325240263,0.562468640240843,0.581528503858601,0.5765149529234377,0.15332039312695953,0.15324317088613215,0.6007155545166809,1121,872,809,1168,3970
5f84f83b84b0f8ad,full_fusion_v2,svm_rbf,S_R,2,3072,0.5479072112960162,0.5492677396516156,0.6251572327044025,0.24949799196787148,0.8490374873353597,0.3566559024040187,0.5040811096082289,0.123063479257525,0.09826626098375835,0.6111326003100548,1676,298,1495,497,3966
f262fc5a0f849f53,data2vec_fusion,svm_rbf,R_S,1,1536,0.5320802005012532,0.5339162813276651,0.5745798319327731,0.2722747635639622,0.795557799091368,0.3694697737250929,0.4987416611203668,0.07957159652419343,0.06758127855241547,0.5744187752790384,1576,405,1462,547,3990
661ab4954b6fa72e,classical,svm_rbf,S_R,3,52,0.490176322418136,0.48823715579134963,0.18666666666666668,0.0070814365199797676,0.9693928750627195,0.01364522417153996,0.33494761208576995,-0.08640024263111326,-0.023616891446886612,0.47683533743925693,1932,61,1963,14,3970
693af27dd81c4f3a,wavlm,svm_rbf,S_R,4,768,0.5701731713621091,0.5705044392644558,0.5844362096347274,0.557013118062563,0.5839957604663487,0.5703952467062774,0.5701730565054531,0.14100537232105664,0.1408425239317428,0.6019846343642865,1102,785,878,1104,3869
6ca176651235fdf3,hubert,xgboost,R_S,1,768,0.5338345864661654,0.5349935889205291,0.5557217651458489,0.36983573917371826,0.7001514386673398,0.44411237298266587,0.5213656383687606,0.0741338165360059,0.06982212387982967,0.5756880509187706,1387,594,1266,743,3990
