run_id,fold,protocol,representation,classifier,feature_dimension,preprocessing,train,validation,test,total_sec,refit_sec,test_inference_sec,test_inference_sec_per_clip,downstream_fit_reused,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,macro_f1,mcc,cohen_kappa,roc_auc,tn,fp,fn,tp,n
0f32c295a44a06b7,0,R_R,classical,mlp,52,peak_filter,11805,3990,4003,12.542731865309179,6.355242781806737,0.00736849894747138,1.8407441787337948e-06,False,0.4921309018236323,0.4905035827528525,0.48079470198675495,0.3675949367088608,0.6134122287968442,0.41664275466284073,0.48348174008302397,-0.019591049240200983,-0.01905144719698515,0.5057863331086311,1244,784,1249,726,4003
3589f95250c85779,1,R_R,classical,mlp,52,peak_filter,11842,3966,3990,8.843678656034172,3.2784933671355247,0.007301085162907839,1.8298459054906864e-06,False,0.537092731829574,0.5385034130863412,0.5678391959798995,0.33748133399701347,0.7395254921756689,0.42335310646269125,0.5183543845062043,0.08407960903332848,0.07678668203031691,0.5971671144664759,1465,516,1331,678,3990
62eba2cfffc55985,2,R_R,classical,mlp,52,peak_filter,11862,3970,3966,11.063993029296398,4.518537417985499,0.007262353785336018,1.8311532489500802e-06,False,0.5506807866868382,0.5513627458160911,0.5756484149855908,0.4011044176706827,0.7016210739614995,0.4727810650887574,0.5406523954617777,0.10768625655704064,0.10258367693981474,0.583546953772537,1385,589,1193,799,3966
0c967ffff3ee133c,3,R_R,classical,mlp,52,peak_filter,11959,3869,3970,12.983204773627222,4.596127416938543,0.0072272527031600475,1.820466675858954e-06,False,0.5110831234256927,0.5106437275025056,0.5115979381443299,0.4016186140617097,0.6196688409433015,0.4499858316803627,0.504974779363192,0.021812564086865344,0.021305840004003374,0.5387822984898333,1235,758,1183,794,3970
11279ed86b5d6306,4,R_R,classical,mlp,52,peak_filter,11926,4003,3869,10.684436794836074,5.086849173065275,0.00714209396392107,1.8459793134973043e-06,False,0.5461359524424916,0.5507137100892665,0.5927750410509032,0.36427850655903127,0.7371489136195019,0.45125,0.5321476972234465,0.10916028136821077,0.10045271539200551,0.5995595227209165,1391,496,1260,722,3869
11b18e56b8452776,0,R_S,classical,mlp,52,peak_filter,11805,3990,4003,0.14901888696476817,6.355242781806737,0.007576430216431618,1.8926880380793449e-06,True,0.49862603047714216,0.4925405088258058,0.4012345679012346,0.03291139240506329,0.9521696252465484,0.06083294337856809,0.35943333998030463,-0.03785097444517518,-0.015100111680936612,0.5482138666267197,1931,97,1910,65,4003
82e10d9335520fe0,1,R_S,classical,mlp,52,peak_filter,11842,3966,3990,0.1409648167900741,3.2784933671355247,0.007453592028468847,1.8680681775611147e-06,True,0.48771929824561405,0.4906841474847286,0.44336569579288027,0.06819313091090094,0.9131751640585563,0.1182053494391717,0.37860108517525526,-0.03485159493044557,-0.018520946870951294,0.5505186278103908,1809,172,1872,137,3990
3d421d7ebbdf0275,2,R_S,classical,mlp,52,peak_filter,11862,3970,3966,0.1407783213071525,4.518537417985499,0.007444314192980528,1.877033331563421e-06,True,0.4969742813918306,0.49920807851466653,0.45161290322580644,0.007028112449799197,0.9913880445795339,0.01384083044982699,0.338110125835846,-0.00899243168973204,-0.0015767659436785042,0.5136338159120779,1957,17,1978,14,3966
6149b383ca8453a8,3,R_S,classical,mlp,52,peak_filter,11959,3869,3970,0.141189306974411,4.596127416938543,0.007444052956998348,1.8750763115864856e-06,True,0.5022670025188917,0.5003056981681713,0.5094339622641509,0.013657056145675266,0.9869543401906673,0.026600985221674877,0.3461262117309728,0.0026635760145018545,0.0006137940857156021,0.5399163892033854,1967,26,1950,27,3970
797ba46d97fcfb84,4,R_S,classical,mlp,52,peak_filter,11926,4003,3869,0.13944191066548228,5.086849173065275,0.007238115184009075,1.8707974112197144e-06,True,0.46549495993796847,0.4769838990768533,0.14754098360655737,0.009081735620585268,0.9448860625331214,0.017110266159695818,0.3250265565800254,-0.13166724914086184,-0.04496988807810287,0.4740946205301877,1783,104,1964,18,3869
92a1b608b544f4e3,0,S_R,classical,mlp,52,peak_filter,11805,3990,4003,0.14746378920972347,3.986123297829181,0.007618121802806854,1.903103123359194e-06,True,0.5036222832875343,0.49706126881881507,0.16666666666666666,0.0015189873417721519,0.992603550295858,0.0030105368790767687,0.3362799233538906,-0.04391945745928607,-0.005954561844186523,0.5521047112575836,2013,15,1972,3,4003
cb8591cf7117a340,1,S_R,classical,mlp,52,peak_filter,11842,3966,3990,0.1414357707835734,3.16117553319782,0.007529313210397959,1.8870459173929722e-06,True,0.4982456140350877,0.5015838620202024,0.5360824742268041,0.025883524141363863,0.9772841998990409,0.04938271604938271,0.35427937300596474,0.01028374922767746,0.0031465605350375903,0.45721009621267644,1936,45,1957,52,3990
160d15794262c9bf,2,S_R,classical,mlp,52,peak_filter,11862,3970,3966,0.14096768805757165,5.909701503813267,0.007405298762023449,1.8671958552757058e-06,True,0.47806354009077157,0.480011993261801,0.3607142857142857,0.05070281124497992,0.9093211752786221,0.08890845070422536,0.3615920345393918,-0.07802989866990753,-0.03981998249069818,0.4232993269938925,1795,179,1891,101,3966
